ticker,title,category,series_ticker,result,hit_90_percent,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S2026B58D8EF4D38-1F3402F26CA,"yes Nebraska,no Villanova wins by over 3.5 Points,no Illinois wins by over 5.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026BF0BCBD1CB4-265039ED731,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026481C6883BF3-8ED75A8DBCA,"yes New York,yes Houston,yes Arkansas,yes Colorado St.,yes Duke,yes Utah St.,yes Houston,yes Iowa St.,yes Nebraska,yes UNLV,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,260,
KXMVESPORTSMULTIGAMEEXTENDED-S202650E6882676C-55213D88316,"yes Arkansas,yes Colorado St.,yes Duke,yes Western Illinois,yes Houston,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B554DED8125-69148A45E61,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Houston,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026ED524493949-1DF361F541A,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Arkansas,yes BYU,yes Colorado St.,yes Duke,yes Utah St.,yes Houston,yes Iowa St.,yes Villanova,yes Arizona St.,yes Nebraska,yes UNLV,yes Vanderbilt,yes Illinois,yes Gonzaga",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,207,
KXMVESPORTSMULTIGAMEEXTENDED-S2026FD772A9090B-F348734F8C7,"yes New York,yes Arkansas,yes Iowa St.,yes Villanova,yes Nebraska,no Illinois wins by over 14.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,65,
KXMVESPORTSMULTIGAMEEXTENDED-S2026B1958EEE6A1-8E33E517927,"yes Nebraska,no Villanova wins by over 3.5 Points",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20266E601E61B87-A38185D8DB6,"yes Arkansas,yes Colorado St.,yes Western Illinois,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202640E10E81C5D-F189E96AC2B,"yes Colorado St.,yes Western Illinois,yes Villanova,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026A21F16ED4C8-D67ED65ECAB,"yes Arkansas,yes Western Illinois,yes Houston,yes Villanova,yes Arizona St.,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,67,
KXMVESPORTSMULTIGAMEEXTENDED-S202603D18C1524E-D1A59D64DCA,"yes Arkansas,yes Western Illinois,yes Marquette,yes Nebraska,yes Illinois",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202622E14B084E2-58A1293E5D4,"yes Phoenix,yes New York,yes Houston,yes San Antonio,yes Nebraska,yes Vanderbilt",Sports,KXMVESPORTSMULTIGAMEEXTENDED,no,False,,,0,
