series_ticker,sub_category,total_markets,markets_0-25%,accuracy_0-25%,status_0-25%,markets_25-50%,accuracy_25-50%,status_25-50%,markets_50-75%,accuracy_50-75%,status_50-75%,markets_75-100%,accuracy_75-100%,status_75-100%
KXLOLGAME,Sports > Esports > League of Legends,100,2,100.0,PROFITABLE,2,50.0,NOT,0,,N/A,96,89.6,NOT
KXLOLGAMES,Sports > Esports > League of Legends,26,2,100.0,PROFITABLE,1,100.0,PROFITABLE,14,85.7,NOT,9,88.9,NOT
KXLOLMAP,Sports > Esports > League of Legends,41,0,,N/A,0,,N/A,0,,N/A,41,70.7,NOT
KXLOWTCHI,Climate and Weather > Temperature,20,0,,N/A,3,66.7,NOT,13,84.6,NOT,4,75.0,NOT
KXLOWTLAX,Climate and Weather > Temperature,21,0,,N/A,1,0.0,NOT,20,85.0,NOT,0,,N/A
KXLOWTMIA,Climate and Weather > Temperature,28,0,,N/A,2,100.0,PROFITABLE,22,100.0,PROFITABLE,4,100.0,PROFITABLE
KXLOWTNYC,Climate and Weather > Temperature,42,0,,N/A,8,50.0,NOT,20,90.0,NOT,14,85.7,NOT
KXLOWTPHIL,Climate and Weather > Temperature,22,2,100.0,PROFITABLE,6,83.3,NOT,13,100.0,PROFITABLE,1,100.0,PROFITABLE
KXMAMDANIMENTION,Mentions > Mentions,87,22,68.2,NOT,14,71.4,NOT,20,80.0,NOT,31,93.5,PROFITABLE
KXMLBGAME,Sports > Baseball > MLB,65,0,,N/A,0,,N/A,2,100.0,PROFITABLE,63,93.7,PROFITABLE
KXMLBSPREAD,Sports > Baseball > MLB,40,0,,N/A,0,,N/A,0,,N/A,40,92.5,PROFITABLE
KXMLBTOTAL,Sports > Baseball > MLB,20,0,,N/A,0,,N/A,1,100.0,PROFITABLE,19,73.7,NOT
KXMLSGAME,Sports > Soccer > MLS,63,0,,N/A,0,,N/A,0,,N/A,63,87.3,NOT
KXMRBEASTMENTION,Mentions > Mentions,90,37,78.4,NOT,3,66.7,NOT,11,63.6,NOT,39,71.8,NOT
KXNASDAQ100Z,Financials > Stock Indices,27,1,100.0,PROFITABLE,2,100.0,PROFITABLE,6,83.3,NOT,18,94.4,PROFITABLE
KXNBAGAME,Sports > Basketball > NBA,32,0,,N/A,0,,N/A,0,,N/A,32,100.0,PROFITABLE
KXNBLGAME,Sports > Other Sports,63,3,100.0,PROFITABLE,0,,N/A,2,100.0,PROFITABLE,58,86.2,NOT
KXNFLPREPACK,Sports > Football > NFL,21,0,,N/A,0,,N/A,0,,N/A,21,61.9,NOT
KXNFLREC,Sports > Football > NFL,89,10,90.0,NOT,2,100.0,PROFITABLE,8,87.5,NOT,69,76.8,NOT
KXNFLRECYDS,Sports > Football > NFL,80,2,100.0,PROFITABLE,1,100.0,PROFITABLE,4,75.0,NOT,73,69.9,NOT
KXNFLRSHYDS,Sports > Football > NFL,126,10,20.0,NOT,8,50.0,NOT,3,0.0,NOT,105,60.0,NOT
KXNFLTOTAL,Sports > Football > NFL,78,1,0.0,NOT,0,,N/A,1,0.0,NOT,76,97.4,PROFITABLE
KXNHLGAME,Sports > Hockey > NHL,75,0,,N/A,0,,N/A,0,,N/A,75,96.0,PROFITABLE
KXNHLTOTAL,Sports > Hockey > NHL,85,0,,N/A,0,,N/A,6,100.0,PROFITABLE,79,89.9,NOT
KXRAINNYC,Climate and Weather > Precipitation,34,20,100.0,PROFITABLE,5,60.0,NOT,4,50.0,NOT,5,60.0,NOT
KXRAINSEA,Climate and Weather > Precipitation,45,3,66.7,NOT,1,100.0,PROFITABLE,20,90.0,NOT,21,90.5,NOT
KXSCOTTISHPREMGAME,Sports > Soccer > Scottish Premiership,52,0,,N/A,0,,N/A,0,,N/A,52,96.2,PROFITABLE
KXSERIEAGAME,Sports > Soccer > Serie A,61,0,,N/A,0,,N/A,0,,N/A,61,86.9,NOT
KXSLGREECEGAME,Sports > Soccer > Super League Greece,22,0,,N/A,1,100.0,PROFITABLE,0,,N/A,21,90.5,NOT
KXSTARMERMENTION,Mentions > Mentions,51,15,60.0,NOT,0,,N/A,0,,N/A,36,55.6,NOT
KXSURVIVORMENTION,Mentions > Mentions,62,26,61.5,NOT,5,80.0,NOT,3,33.3,NOT,28,50.0,NOT
KXTRUMPMENTION,Mentions > Mentions,66,22,86.4,NOT,5,40.0,NOT,7,42.9,NOT,32,78.1,NOT
KXUECLGAME,Sports > Soccer > UEFA Conference League,63,0,,N/A,4,50.0,NOT,1,0.0,NOT,58,87.9,NOT
KXUELGAME,Sports > Soccer > UEFA Europa League,58,0,,N/A,0,,N/A,0,,N/A,58,91.4,PROFITABLE
KXXRP15M,Crypto > XRP,32,5,100.0,PROFITABLE,10,70.0,NOT,9,66.7,NOT,8,75.0,NOT
