ticker,title,category,series_ticker,result,hit_90_percent,data_method,crossing_timestamp,crossing_price,volume,signal_timing
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-394D787BDEB,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Karl-Anthony Towns: 15+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-2EEFB01BB3C,"yes Cooper Flagg: 15+,yes Josh Hart: 10+,yes Mikal Bridges: 10+,yes Alperen Sengun: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-1AC418EE593,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Jalen Brunson: 20+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-09D6BBF13C2,"yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,6,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-093C8CEB9C1,"yes Cooper Flagg: 15+,yes Jalen Brunson: 25+,yes Mikal Bridges: 10+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-09322C2F9E6,"yes Cooper Flagg: 15+,yes Pascal Siakam: 20+,yes Karl-Anthony Towns: 15+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-08BD18CBA48,"yes Cooper Flagg: 15+,yes Pascal Siakam: 25+,yes Jalen Brunson: 20+,yes Kevin Durant: 20+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202633B76A86BA4-0344AEA2E1E,"yes Cooper Flagg: 15+,yes Jalen Brunson: 20+,yes Mikal Bridges: 10+,yes Amen Thompson: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263175D32EF25-74D8A7C4342,"yes Jalen Brunson: 2+,yes Kevin Durant: 1+,yes Cooper Flagg: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263175D32EF25-1842FCA39CB,"yes Jalen Brunson: 2+,yes Kevin Durant: 2+,yes Cooper Flagg: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263175D32EF25-0B69AA1DDDC,"yes Jalen Brunson: 1+,yes Kawhi Leonard: 1+,yes Cooper Flagg: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S20263175D32EF25-0955CB15713,"yes Jalen Brunson: 1+,yes Kevin Durant: 1+,yes Cooper Flagg: 15+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S2026264FBCE7CC6-EE9BEC7543D,"yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 15+,yes Mikal Bridges: 10+,yes Alperen Sengun: 6+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
KXMVESPORTSMULTIGAMEEXTENDED-S202622EBD8E97F0-EBFF5E4FB76,"yes Kevin Durant: 2+,yes Cooper Flagg: 15+,yes Karl-Anthony Towns: 10+",Sports,KXMVESPORTSMULTIGAMEEXTENDED,yes,False,,,,0,
