Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
KXATPMATCH-26FEB09ROYOCO-ROY,Will Valentin Royer win the Royer vs O'Connell : Round Of 32 match?,no,0,NO,,,,,2026-02-09T19:11:42Z,,,,1000
KXATPMATCH-26FEB09ROYOCO-OCO,Will Christopher O'Connell win the Royer vs O'Connell : Round Of 32 match?,yes,100,YES,2026-02-09T19:07:47.619388Z,90,2026-02-09T19:08:15.860971Z,93,2026-02-09T19:11:42Z,3.4,206,CORRECT,1000
KXATPMATCH-26FEB09DZUDEL-DZU,Will Damir Dzumhur win the Dzumhur vs Dellien : Round Of 32 match?,no,0,YES,2026-02-09T00:10:10.127928Z,93,,,2026-02-09T17:52:29Z,,,WRONG,715
KXATPMATCH-26FEB09DZUDEL-DEL,Will Hugo Dellien win the Dzumhur vs Dellien : Round Of 32 match?,yes,100,YES,2026-02-09T17:05:37.444471Z,90,2026-02-09T17:07:54.242126Z,93,2026-02-09T17:52:29Z,44.6,2674,CORRECT,574
KXATPMATCH-26FEB08MEDHUM-MED,Will Daniil Medvedev win the Medvedev vs Humbert : Round Of 32 match?,no,0,NO,,,,,2026-02-09T17:03:33Z,,,,1000
KXATPMATCH-26FEB08MEDHUM-HUM,Will Ugo Humbert win the Medvedev vs Humbert : Round Of 32 match?,yes,100,YES,2026-02-09T16:42:07.276586Z,90,2026-02-09T16:48:12.110577Z,91,2026-02-09T17:03:33Z,15.3,920,CORRECT,1000
KXATPMATCH-26FEB08BAUNOR-NOR,Will Cameron Norrie win the Bautista Agut vs Norrie : Round Of 32 match?,yes,100,YES,2026-02-09T12:58:16.982679Z,90,2026-02-09T13:46:16.67741Z,93,2026-02-09T14:12:45Z,26.5,1588,CORRECT,1000
KXATPMATCH-26FEB08BAUNOR-BAU,Will Roberto Bautista Agut win the Bautista Agut vs Norrie : Round Of 32 match?,no,0,NO,,,,,2026-02-09T14:12:45Z,,,,1000
KXATPMATCH-26FEB08JODCAS-JOD,Will Rafael Jodar win the Jodar vs Cassone : Qualification Final match?,yes,100,YES,2026-02-08T20:53:29.429618Z,91,2026-02-08T22:26:45.456943Z,90,2026-02-08T22:32:20Z,5.6,334,CORRECT,1000
KXATPMATCH-26FEB08JODCAS-CAS,Will Murphy Cassone win the Jodar vs Cassone : Qualification Final match?,no,0,NO,,,,,2026-02-08T22:32:20Z,,,,1000
KXATPMATCH-26FEB08SHITOM-TOM,Will Bernard Tomic win the Shimabukuro vs Tomic : Qualification Final match?,no,0,NO,,,,,2026-02-08T22:22:15Z,,,,680
