sub_category,series_ticker,time_bucket,price_bucket,total_markets,wins,losses,accuracy,avg_profit,total_profit,profitable_yes_no,sample_tickers
Sports > Hockey > KHL,KXKHLGAME,0-1h,90-92¢,16,15,1,93.8,3.5,56.0,yes,KXKHLGAME-26FEB110415TRAAMU-TRA|KXKHLGAME-26FEB10SKANEF-SKA|KXKHLGAME-26FEB05AVTHKA-HKA|KXKHLGAME-26FEB03SKADIN-SKA|KXKHLGAME-26FEB02TORADM-TOR
Sports > Soccer > English Premier League,KXEPLTOTAL,1-3h,93-95¢,8,8,0,100.0,7.0,56.0,yes,KXEPLTOTAL-26FEB06LEENFO-3|KXEPLTOTAL-26FEB02SUNBUR-2|KXEPLTOTAL-26JAN24WHUSUN-3|KXEPLTOTAL-26JAN24BOULFC-2|KXEPLTOTAL-26JAN25BRENFO-1
Sports > Football > NCAA Football,KXNCAAFGAME,1-3h,90-92¢,16,15,1,93.8,3.44,55.0,yes,KXNCAAFGAME-25DEC31NEBUTAH-UTAH|KXNCAAFGAME-25DEC13SCSTPV-SCST|KXNCAAFGAME-25DEC13SCSTPV-PV|KXNCAAFGAME-25DEC19MEMNCST-NCST|KXNCAAFGAME-25DEC13BSUWASH-WASH
Economics > Inflation,KXCPIGAS,24h+,93-95¢,10,10,0,100.0,5.4,54.0,yes,KXCPIGAS-24DEC-T0.6|KXCPIGAS-24DEC-T3|KXCPIGAS-24NOV-T-3|KXCPIGAS-24NOV-T-2|CPIGAS-24OCT-T-4.1
Economics > Inflation,KXCPIUSEDCAR,24h+,93-95¢,9,9,0,100.0,6.0,54.0,yes,KXCPIUSEDCAR-25FEB-T-3|CPIUSEDCAR-24SEP-T-3|CPIUSEDCAR-24AUG-T-3|CPIUSEDCAR-24JUN-T-3|CPIUSEDCAR-24APR-T-3
Economics > Other Economics,KXBANKRUPTS,24h+,93-95¢,9,9,0,100.0,6.0,54.0,yes,KXBANKRUPTS-25MAY-50|KXBANKRUPTS-25FEB-40|KXBANKRUPTS-25FEB-30|KXBANKRUPTS-25JAN-60|KXBANKRUPTS-24DEC-40
Sports > Esports > Rainbow Six Siege,KXR6MAP,0-1h,90-92¢,6,6,0,100.0,8.67,52.0,yes,KXR6MAP-26FEB05HERETICSM80-2-HERETICS|KXR6MAP-26FEB06FXM80-2-M80|KXR6MAP-26FEB06OXGEP-2-OXG|KXR6MAP-26FEB06OXGEP-1-OXG|KXR6MAP-26FEB04FLCSWCG-1-WCG
Sports > Football > NFL,KXNFLGAME,0-1h,93-95¢,9,9,0,100.0,5.78,52.0,yes,KXNFLGAME-26JAN04CLECIN-CLE|KXNFLGAME-26JAN04DETCHI-DET|KXNFLGAME-26JAN04CARTB-TB|KXNFLGAME-25DEC29LAATL-ATL|KXNFLGAME-25DEC21MINNYG-MIN
Climate and Weather > Temperature,KXLOWTPHIL,12-24h,90-92¢,16,15,1,93.8,3.25,52.0,yes,KXLOWTPHIL-26FEB09-T8|KXLOWTPHIL-26FEB08-T6|KXLOWTPHIL-26FEB07-T10|KXLOWTPHIL-26FEB06-T17|KXLOWTPHIL-26FEB01-T12
Entertainment > Other,KXRANKLISTSONGTOP10,24h+,90-92¢,6,6,0,100.0,8.5,51.0,yes,KXRANKLISTSONGTOP10-26JAN10-MUT|KXRANKLISTSONGTOP10-26JAN03-SLE|KXRANKLISTSONGTOP10-25DEC27-FAT|KXRANKLISTSONGTOP10-25DEC20-UND|KXRANKLISTSONGTOP10-13DEC-ORD
Sports > Baseball > MLB,KXMLBGAME,1-3h,93-95¢,8,8,0,100.0,6.25,50.0,yes,KXMLBGAME-25OCT19SEATOR-TOR|KXMLBGAME-25OCT13SEATOR-SEA|KXMLBGAME-25OCT09MILCHC-CHC|KXMLBGAME-25OCT06CHCMIL-MIL|KXMLBGAME-25OCT05NYYTOR-TOR
Sports > Football > NFL,KXNFLREC,24h+,90-92¢,15,14,1,93.3,3.33,50.0,yes,KXNFLREC-26FEB08SEANE-SEAGHOLANI36-1|KXNFLREC-26FEB08SEANE-SEARSHAHEED22-1|KXNFLREC-26FEB08SEANE-SEAKWALKER9-2|KXNFLREC-26FEB08SEANE-SEAKWALKER9-1|KXNFLREC-26FEB08SEANE-SEACKUPP10-1
