ticker,category,series_title,total_markets,wins,losses,accuracy,expected_profit,profitable,breakeven,is_seasonal,is_year_round
KXUNRIVALEDGAME,Sports,Unrivaled Basketball Game,12,9,3,75.0,-0.17000000000000004,False,False,False,False
KXSPOTIFY2D,Entertainment,Daily US Spotify chart Runner-up,4,3,1,75.0,-0.17000000000000004,False,False,False,False
KXTRUMPMENTION,Mentions,What will Trump say?,66,49,17,74.24242424242425,-0.1775757575757575,False,False,False,True
KXTRUMPMENTIONB,Mentions,Trump Mention B,108,80,28,74.07407407407408,-0.17925925925925923,False,False,False,True
KXVANCEMENTION,Mentions,Vance Says,76,56,20,73.68421052631578,-0.1831578947368422,False,False,False,True
KXCPICOREYOY,Economics,Core inflation,19,14,5,73.68421052631578,-0.1831578947368422,False,False,False,False
KXMRBEASTMENTION,Mentions,What Will Mr Beast say in his next video,90,66,24,73.33333333333333,-0.18666666666666676,False,False,False,True
KXPAYROLLS,Economics,Jobs numbers,11,8,3,72.72727272727273,-0.19272727272727275,False,False,False,False
KXCOPADELREYGAME,Sports,Copa Del Rey Game,32,23,9,71.875,-0.20125000000000007,False,False,False,False
KXCFPSEED,Sports,College Football Playoff Seed,7,5,2,71.42857142857143,-0.20571428571428574,False,False,False,False
KXFLIGHTLAX,World,Los Angeles International Airport total delays and cancellations,7,5,2,71.42857142857143,-0.20571428571428574,False,False,False,False
KXNFLRECYDS,Sports,Pro Football player Receiving Yards,80,57,23,71.25,-0.20750000000000005,False,False,True,False
KXKIMMELMENTION,Mentions,Jimmy Kimmel Mention,52,37,15,71.15384615384616,-0.20846153846153848,False,False,False,True
KXLOLMAP,Sports,League of Legends Map Winner,41,29,12,70.73170731707317,-0.21268292682926826,False,False,False,False
KXEPLSPREAD,Sports,English Premier League Spread,10,7,3,70.0,-0.2200000000000001,False,False,False,False
KXHIGHTSFO,Climate and Weather,San Francisco High Temperature Daily,23,16,7,69.56521739130434,-0.22434782608695658,False,False,False,True
KXJOBLESSCLAIMS,Economics,Weekly initial jobless claims,23,16,7,69.56521739130434,-0.22434782608695658,False,False,False,False
KXNFLPASSTDS,Sports,Pro Football player Passing Touchdowns,48,33,15,68.75,-0.23250000000000007,False,False,True,False
KXNFLPASSYDS,Sports,Pro Football player Passing Yards,114,77,37,67.54385964912281,-0.24456140350877198,False,False,True,False
KXTOPSONG,Entertainment,Billboard Hot 100 #1,15,10,5,66.66666666666666,-0.2533333333333335,False,False,False,False
KXHMONTHRANGE,Climate and Weather,Monthly Temperature Increase (ºC),6,4,2,66.66666666666666,-0.2533333333333335,False,False,False,False
KXCPIAPPAREL,Economics,CPI on apparel,3,2,1,66.66666666666666,-0.2533333333333335,False,False,False,False
KXEURO,Financials,EURO/USD exchange rate,6,4,2,66.66666666666666,-0.2533333333333335,False,False,True,False
KXNFL2TD,Sports,Pro Football Multiple Touchdowns,12,8,4,66.66666666666666,-0.2533333333333335,False,False,True,False
KX538APPROVE,Politics,President 538 approval rating this week,12,8,4,66.66666666666666,-0.2533333333333335,False,False,False,False
KXTSA,Transportation,TSA daily check-ins,6,4,2,66.66666666666666,-0.2533333333333335,False,False,False,False
KXSPOTIFYARTISTD,Entertainment,Daily US Spotify artist chart,3,2,1,66.66666666666666,-0.2533333333333335,False,False,False,False
KXIIHFGAME,Sports,IIHF Game,6,4,2,66.66666666666666,-0.2533333333333335,False,False,False,False
KXUCLSPREAD,Sports,Champions League Spread,12,8,4,66.66666666666666,-0.2533333333333335,False,False,False,False
KXCS2TOTALMAPS,Sports,CS2 Total Maps,12,8,4,66.66666666666666,-0.2533333333333335,False,False,False,False
KXNCAABMENTION,Mentions,College Basketball,86,57,29,66.27906976744185,-0.2572093023255815,False,False,True,True
KXKLEAGUEGAME,Sports,Korea K League Game,17,11,6,64.70588235294117,-0.27294117647058835,False,False,False,False
KXLOWTDEN,Climate and Weather,Lowest temperature in Denver,17,11,6,64.70588235294117,-0.27294117647058835,False,False,False,False
KXBILLBOARDRUNNERUPSONG,Entertainment,Will Song be number 2 on Billboard 100?,11,7,4,63.63636363636363,-0.2836363636363637,False,False,False,False
KXLIGUE1SPREAD,Sports,Ligue 1 Spread,8,5,3,62.5,-0.29500000000000004,False,False,False,False
KXNBA2D,Sports,Pro Basketball Double Double,8,5,3,62.5,-0.29500000000000004,False,False,True,False
KXASYLUMCASES,Politics,New asylum cases,8,5,3,62.5,-0.29500000000000004,False,False,False,False
KXNFLPREPACK,Sports,MVE NFL Pre Pack,21,13,8,61.904761904761905,-0.30095238095238097,False,False,True,False
KXNETFLIXRANKMOVIE,Entertainment,Netflix movie ranking,18,11,7,61.111111111111114,-0.3088888888888889,False,False,False,False
KXATPTOTALSETS,Sports,ATP Total Sets,30,18,12,60.0,-0.32000000000000006,False,False,False,False
KXCOLBERTMENTION,Mentions,Colbert Mention,51,30,21,58.82352941176471,-0.33176470588235296,False,False,False,True
KXSTARMERMENTION,Mentions,Starmer mentions,51,29,22,56.86274509803921,-0.3513725490196079,False,False,False,True
KXSURVIVORMENTION,Mentions,Survivor Mention,62,35,27,56.451612903225815,-0.3554838709677419,False,False,False,True
KXNFLPREPACK3ML,Sports,MVE NFL Pre Pack,16,9,7,56.25,-0.35750000000000004,False,False,True,False
KXNFLRSHYDS,Sports,Pro Football player Rushing Yards,126,69,57,54.761904761904766,-0.37238095238095237,False,False,True,False
KXNETFLIXRANKMOVIERUNNERUP,Entertainment,RUNNER UP NETFLIX MOVIE,11,6,5,54.54545454545454,-0.3745454545454546,False,False,False,False
KXATPEXACTMATCH,Sports,ATP Exact Match Score,22,12,10,54.54545454545454,-0.3745454545454546,False,False,False,False
KXNCAAHOCKEYGAME,Sports,College Hockey Game,13,7,6,53.84615384615385,-0.3815384615384616,False,False,True,False
KXLATENIGHTMENTION,Mentions,Late Night Mention,57,30,27,52.63157894736842,-0.39368421052631586,False,False,False,True
KXSPOTIFYD,Entertainment,Daily US Spotify chart,2,1,1,50.0,-0.42000000000000004,False,False,False,False
KXNETFLIXRANKSHOWRUNNERUP,Entertainment,RUNNER UP NETFLIX SHOW,14,7,7,50.0,-0.42000000000000004,False,False,False,False
KXWOLUGE,Sports,Winter Olympics Luge,6,3,3,50.0,-0.42000000000000004,False,False,False,False
KXWTAMOA,Sports,WTA Tour Merida Open Akron,4,2,2,50.0,-0.42000000000000004,False,False,False,False
KXSNLMENTION,Mentions,SNL Mention,46,23,23,50.0,-0.42000000000000004,False,False,False,True
KXCPISHELTER,Economics,CPI on shelter,4,2,2,50.0,-0.42000000000000004,False,False,False,False
KXOILW,Economics,Price of oil weekly,2,1,1,50.0,-0.42000000000000004,False,False,False,False
KXUFCMOF,Sports,UFC Method of Finish,5,2,3,40.0,-0.52,False,False,False,False
KXNBAAST,Sports,Pro Basketball Player Assists,5,2,3,40.0,-0.52,False,False,True,False
KXLEAVITTMENTIONDURATION,Mentions,Leavitt Duration,19,7,12,36.84210526315789,-0.5515789473684211,False,False,False,True
KXUFCMOV,Sports,UFC Method of Victory,32,11,21,34.375,-0.57625,False,False,False,False
KXNHLGOAL,Sports,Pro Hockey Goalscorer,3,1,2,33.33333333333333,-0.5866666666666668,False,False,True,False
KXSPOTIFYALBUMW,Entertainment,Weekly US Spotify album chart,4,1,3,25.0,-0.67,False,False,False,False
KXDGAAWARDS,Entertainment,DGA Awards,4,1,3,25.0,-0.67,False,False,False,False
KXWTIW,Financials,WTI oil weekly range,9,2,7,22.22222222222222,-0.6977777777777778,False,False,False,False
KXNBA3D,Sports,Pro Basketball Triple Double,6,1,5,16.666666666666664,-0.7533333333333334,False,False,True,False
KXEURUSD,Financials,EUR/USD daily range,2,0,2,0.0,-0.92,False,False,False,False
KXPICKLEBALLGAMES,Sports,Pickle Ball Games,1,0,1,0.0,-0.92,False,False,False,False
