Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),Crossed 90%,First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BARZHE-ZHE,Will Michael Zheng win the Barrios Vera vs Zheng : Qualification Round 2 match?,yes,100,YES,2026-01-14T07:52:58.232614Z,90,,,2026-01-14T08:22:04.906783Z,29.1,1746,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13RODSVA-SVA,Will Zachary Svajda win the Rodionov vs Svajda : Qualification Round 2 match?,yes,100,YES,2026-01-14T07:26:44.766928Z,90,,,2026-01-14T08:22:03.50926Z,55.3,3318,CORRECT,386
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN14MARRUU-MAR,Will Fabian Marozsan win the Marozsan vs Ruud : Round Of 16 match?,yes,100,YES,2026-01-14T07:40:47.879361Z,91,,,2026-01-14T08:22:00.605766Z,41.2,2472,CORRECT,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MCDGRE-MCD,Will Mackenzie McDonald win the McDonald vs Grenier : Qualification Round 2 match?,yes,100,YES,2026-01-14T07:41:50.916305Z,90,,,2026-01-14T08:21:59.051606Z,40.1,2408,CORRECT,851
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13CINVAL-CIN,Will Federico Cina win the Cina vs Vallejo : Qualification Round 2 match?,no,0,YES,2026-01-14T06:54:37.440732Z,91,,,2026-01-14T08:21:55.134827Z,87.3,5237,WRONG,1085
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BOYPAS-PAS,Will Francesco Passaro win the Boyer vs Passaro : Qualification Round 2 match?,no,0,YES,2026-01-14T05:31:41.150136Z,90,,,2026-01-14T07:32:08.840111Z,120.5,7227,WRONG,2000
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13BLOMOL-BLO,Will Alexander Blockx win the Blockx vs Molcan : Qualification Round 2 match?,yes,100,YES,2026-01-14T04:59:46.139569Z,90,,,2026-01-14T07:32:05.04073Z,152.3,9138,CORRECT,297
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13MOLYME-YME,Will Elias Ymer win the Moller vs Ymer : Qualification Round 2 match?,yes,100,YES,2026-01-14T06:28:23.096948Z,96,,,2026-01-14T06:42:06.031765Z,13.7,822,CORRECT,1909
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13LAJCAS-LAJ,Will Dusan Lajovic win the Lajovic vs Cassone : Qualification Round 2 match?,yes,100,YES,2026-01-14T05:49:59.805464Z,90,,,2026-01-14T06:32:16.522156Z,42.3,2536,CORRECT,405
Sports,KXATPMATCH,ATP Tennis Match,KXATPMATCH-26JAN13GLIVAN-VAN,Will Luca Van Assche win the Glinka vs Van Assche : Qualification Round 2 match?,yes,100,YES,2026-01-14T05:21:32.703286Z,91,,,2026-01-14T06:32:13.784813Z,70.7,4241,CORRECT,170
