Category,Series Ticker,Series Title,Ticker,Title,Result,Settlement (¢),First Touch Time,First Touch Price (¢),Permanent Cross Time,Permanent Cross Price (¢),Market Close Time,Betting Window (min),Betting Window (sec),Prediction Correct,Trades Count
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB04HUMMAN-MAN,Will Adrian Mannarino win the Humbert vs Mannarino : Round Of 16 match?,,100,2026-02-04T20:35:44.4294Z,96,,,,5.1,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01MEDWAW-WAW,Will Stan Wawrinka win the Medjedovic vs Wawrinka : Round Of 32 match?,,100,2026-02-04T17:04:08.240036Z,90,,,,31.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB03KOUKOV-KOV,Will Aleksandar Kovacevic win the Kouame vs Kovacevic : Round Of 32 match?,,100,2026-02-04T15:08:20.981884Z,90,,,,27.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB04DAMBAU-DAM,Will Martin Damm Jr win the Damm Jr vs Bautista Agut : Round Of 16 match?,,100,2026-02-04T11:49:40.515884Z,95,,,,101.7,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01BASNAR-NAR,Will Luca Nardi win the Basilashvili vs Nardi : Round Of 32 match?,,100,2026-02-04T11:37:08.659578Z,90,,,,38.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB03VAVBLA-BLA,Will Ugo Blanchet win the Vavassori vs Blanchet : Round Of 32 match?,,100,2026-02-03T21:18:25.471326Z,90,,,,37.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01ROYFIL-FIL,Will Arthur Fils win the Royer vs Fils : Round Of 32 match?,,100,2026-02-03T19:55:29.53034Z,90,,,,25.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01HUMVAN-HUM,Will Ugo Humbert win the Humbert vs Van de Zandschulp : Round Of 32 match?,,100,2026-02-03T15:59:07.876126Z,91,,,,56.3,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB03DROCHO-DRO,Will Titouan Droguet win the Droguet vs Choinski : Round Of 32 match?,,100,2026-02-03T14:12:02.112754Z,90,,,,73.6,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB03HURDAM-DAM,Will Martin Damm Jr win the Hurkacz vs Damm Jr : Round Of 32 match?,,100,2026-02-03T15:08:00.790757Z,90,,,,13.5,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01KECCAR-CAR,Will Pablo Carreno Busta win the Kecmanovic vs Carreno Busta : Round Of 32 match?,,100,2026-02-03T13:17:10.104703Z,99,,,,33.9,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01BAUOCO-BAU,Will Roberto Bautista Agut win the Bautista Agut vs O'Connell : Round Of 32 match?,,100,2026-02-02T22:37:29.375348Z,91,,,,9.0,,CORRECT,
Sports,KXATPMATCH,Tennis,KXATPMATCH-26FEB01GEAMPE-GEA,Will Arthur Gea win the Gea vs Mpetshi Perricard : Round Of 32 match?,,100,2026-02-02T19:15:43.37078Z,90,,,,71.3,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10SJSUUNLV-UNLV,San Jose St. at UNLV Winner?,,100,2026-02-11T05:57:32.473179Z,90,,,,20.0,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10WSUGONZ-GONZ,Washington St. at Gonzaga Winner?,,100,2026-02-11T02:15:32.73122Z,95,,,,239.2,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10OKSTASU-ASU,Oklahoma St. at Arizona St. Winner?,,100,2026-02-11T04:02:37.881073Z,93,,,,91.1,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10FRESUSU-USU,Fresno St. at Utah St. Winner?,,100,2026-02-11T00:31:02.025596Z,95,,,,239.5,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10HOUUTAH-HOU,Houston at Utah Winner?,,100,2026-02-11T00:30:48.567256Z,95,,,,239.7,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10CSUAFA-CSU,Colorado St. at Air Force Winner?,,100,2026-02-11T00:31:15.585168Z,93,,,,233.5,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10ARKLSU-ARK,Arkansas at LSU Winner?,,100,2026-02-11T02:21:16.292119Z,90,,,,123.5,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10DUKEPITT-DUKE,Duke at Pittsburgh Winner?,,100,2026-02-11T02:53:31.110852Z,95,,,,87.0,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10UVAFSU-UVA,Virginia at Florida St. Winner?,,100,2026-02-11T02:05:50.965719Z,94,,,,129.5,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10EIUWIU-WIU,Eastern Illinois at Western Illinois Winner?,,100,2026-02-11T03:03:39.671007Z,90,,,,47.2,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10WISILL-WIS,Wisconsin at Illinois Winner?,,100,2026-02-11T03:17:52.154309Z,93,,,,33.0,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10BYUBAY-BYU,BYU at Baylor Winner?,,100,2026-02-11T01:49:43.937182Z,97,,,,81.4,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10MARQVILL-VILL,Marquette at Villanova Winner?,,100,2026-02-11T02:39:48.696479Z,90,,,,25.3,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10GMURICH-RICH,George Mason at Richmond Winner?,,100,2026-02-11T00:36:17.554677Z,95,,,,134.5,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10NDSMU-SMU,Notre Dame at SMU Winner?,,100,2026-02-11T01:27:59.95063Z,90,,,,82.8,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10VANAUB-VAN,Vanderbilt at Auburn Winner?,,100,2026-02-11T01:52:53.04081Z,93,,,,48.6,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10UNCMIA-MIA,North Carolina at Miami (FL) Winner?,,100,2026-02-11T01:54:57.843585Z,96,,,,46.5,,CORRECT,
Sports,KXNCAAMBGAME,College Basketball,KXNCAAMBGAME-26FEB10FORJOES-FOR,Fordham at Saint Joseph's Winner?,,100,2026-02-11T02:02:22.13377Z,90,,,,33.0,,CORRECT,
