Rank,Category,Subcategory,Series Ticker,Success Rate (%),Correct,Total Events,Wrong,Num Markets
241,Entertainment,Will Song be number 2 on Billboard 100?,KXBILLBOARDRUNNERUPSONG,65.2,15,23,8,23
242,Sports,ATP Total Sets,KXATPTOTALSETS,64.3,54,84,30,84
243,Entertainment,Daily US Spotify chart,KXSPOTIFYD,64.3,9,14,5,14
244,Sports,Pro Football player Passing Touchdowns,KXNFLPASSTDS,63.3,69,109,40,109
245,Sports,Cricket ODI Match,KXCRICKETODIMATCH,63.2,12,19,7,19
246,Entertainment,Weekly US Spotify chart,KXSPOTIFYW,62.5,10,16,6,16
247,Sports,Korea K League Game,KXKLEAGUEGAME,62.1,18,29,11,29
248,Sports,Winter Olympics Luge,KXWOLUGE,61.5,16,26,10,26
249,Mentions,Colbert Mention,KXCOLBERTMENTION,61.2,41,67,26,67
250,Sports,La Liga Spread,KXLALIGASPREAD,61.1,22,36,14,36
251,Sports,College Football Playoff Seed,KXCFPSEED,61.1,11,18,7,18
252,Entertainment,Billboard Top 200 #1,KXTOPALBUM,60.9,14,23,9,23
253,Sports,MVE NFL Pre Pack,KXNFLPREPACK3ML,60.0,15,25,10,25
254,Entertainment,DGA Awards,KXDGAAWARDS,60.0,12,20,8,20
255,Entertainment,WHO WILL BE ELIMINATED FROM SURVIVOR,KXSURVIVORELIMINATION,60.0,12,20,8,20
256,Mentions,Starmer mentions,KXSTARMERMENTION,59.7,40,67,27,67
257,Mentions,Leavitt Duration,KXLEAVITTMENTIONDURATION,59.1,26,44,18,44
258,Entertainment,Billboard Hot 100 #1,KXTOPSONG,57.7,15,26,11,26
259,Entertainment,Will Album be runner up this week?,KXBILLBOARDRUNNERUPALBUM,57.1,16,28,12,28
260,Climate and Weather,Monthly Temperature Increase (ºC),KXHMONTHRANGE,56.7,17,30,13,30
261,Economics,ADP employment change,KXADP,56.5,13,23,10,23
262,Sports,Bundesliga Spread,KXBUNDESLIGASPREAD,56.2,18,32,14,32
263,Sports,Pro Football player Rushing Yards,KXNFLRSHYDS,56.0,75,134,59,134
264,Sports,Pro Basketball Double Double,KXNBA2D,54.0,34,63,29,63
265,Mentions,Late Night Mention,KXLATENIGHTMENTION,52.8,38,72,34,72
266,World,Los Angeles International Airport total delays and cancellations,KXFLIGHTLAX,52.4,11,21,10,21
267,Sports,ATP Exact Match Score,KXATPEXACTMATCH,51.9,28,54,26,54
268,Mentions,Survivor Mention,KXSURVIVORMENTION,50.0,58,116,58,116
269,Politics,New asylum cases,KXASYLUMCASES,50.0,9,18,9,18
270,Sports,pickleball,KXPICKLEBALL,48.4,15,31,16,31
271,Sports,UFC Method of Finish,KXUFCMOF,47.6,10,21,11,21
272,Entertainment,RUNNER UP NETFLIX SHOW,KXNETFLIXRANKSHOWRUNNERUP,47.4,9,19,10,19
273,Mentions,SNL Mention,KXSNLMENTION,46.2,30,65,35,65
274,Entertainment,RUNNER UP NETFLIX MOVIE,KXNETFLIXRANKMOVIERUNNERUP,44.4,8,18,10,18
275,Financials,Price of gold,KXGOLD,42.9,9,21,12,21
276,Entertainment,Weekly US Spotify album chart,KXSPOTIFYALBUMW,42.9,6,14,8,14
277,Sports,UFC Method of Victory,KXUFCMOV,31.0,22,71,49,71
278,Entertainment,Daily Global Spotify songs,KXSPOTIFYGLOBALD,27.6,8,29,21,29
279,Entertainment,Daily US Spotify artist chart,KXSPOTIFYARTISTD,25.0,6,24,18,24
280,Entertainment,Daily US Spotify chart Runner-up,KXSPOTIFY2D,21.7,5,23,18,23
281,Financials,WTI oil weekly range,KXWTIW,21.2,7,33,26,33
282,Sports,Pro Basketball Triple Double,KXNBA3D,21.2,7,33,26,33
283,Financials,EUR/USD daily range,KXEURUSD,16.1,5,31,26,31
284,Financials,Treasury 10Y weekly yield,KXTNOTEW,14.3,2,14,12,14
