timestamp,event_id,market_id,question,league,outcome_name,implied_prob,best_bid,best_ask,last_trade_price,clob_buy_price,token_id,game_start_time
2026-02-24T07:33:02.379605+00:00,205363,1424290,Total Kills Over/Under 25.5 in Game 1?,league-of-legends,Under,0.005,0.99,1,0.999,,84159966073483076391687400935675535741829379145127015228249171970343097398131,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424297,Total Kills Over/Under 38.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,115011842670077309966325840854868210408742954544083893314790284538754285062070,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424297,Total Kills Over/Under 38.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.99,12082969742218691607279225403982612421486405326053218636528400668705776954970,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424298,Total Kills Over/Under 37.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,62508804950000457930168128509673463569912866086061594468793953161232246434095,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424298,Total Kills Over/Under 37.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.99,33226191736276394341865945395326223892366578425460427415910965355492746022733,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424299,Total Kills Over/Under 36.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,68706241670022169366977698433028580637833754479019477829930752190919195072985,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424299,Total Kills Over/Under 36.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.99,103984244179148992228934415105262617839868562414828314202021943687813954558637,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424300,Total Kills Over/Under 35.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,94257756590121130054961292244056706853068983562849820513278397209970339888259,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424300,Total Kills Over/Under 35.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.99,71279718556815386551675048711749854837961168368581789811230764025396795732142,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424305,Total Kills Over/Under 41.5 in Game 1?,league-of-legends,Over,0.0055,0.001,0.01,0.95,,95296661130022272488729651434960957053981304542498373532170260117331053234221,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424305,Total Kills Over/Under 41.5 in Game 1?,league-of-legends,Under,0.9945,0.001,0.01,0.95,0.99,52382856996233708394205242335816062253897970168024240888664488423077472603262,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424306,Total Kills Over/Under 40.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,86454031373907882452188047137620826613937074195918436230156062284063103842137,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424306,Total Kills Over/Under 40.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.99,58182633411832860777998070784430568564600533395141741087072852455525565891512,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424307,Total Kills Over/Under 39.5 in Game 1?,league-of-legends,Over,0.005,,0.01,,,105323884050939934407320974568406764292844509760572631621319805627442551963779,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424307,Total Kills Over/Under 39.5 in Game 1?,league-of-legends,Under,0.995,,0.01,,0.999,18576770349684914231925316865115980557339555809708494552829186296146645582708,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424316,Game Handicap: TES (-2.5) vs JD Gaming (+2.5),league-of-legends,Top Esports,0.47,,0.94,,,79406354682171845045425815356547781405063315661964061410563890509023007882715,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424316,Game Handicap: TES (-2.5) vs JD Gaming (+2.5),league-of-legends,JD Gaming,0.53,,0.94,,0.99,38511848033582925682858593219660895938016994772010790490867367826007786545122,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424317,Total Kills Over/Under 43.5 in Game 1?,league-of-legends,Over,0.0055,0.001,0.01,,,112855019799125601337727208531107355530032686858691721522057277409088947498815,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424317,Total Kills Over/Under 43.5 in Game 1?,league-of-legends,Under,0.9945,0.001,0.01,,0.99,97123078590521868539382253028611692472130273232126749051092080778477241035718,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424318,Total Kills Over/Under 42.5 in Game 1?,league-of-legends,Over,0.0055,0.001,0.01,,,50744571521923655837630332764070095162888512767497543024696832222482303024275,2026-02-24 06:10:00+00
2026-02-24T07:33:02.379605+00:00,205363,1424318,Total Kills Over/Under 42.5 in Game 1?,league-of-legends,Under,0.9945,0.001,0.01,,0.99,83828643492763980080070520037378060664812868399011118849872191243367921868676,2026-02-24 06:10:00+00
